,Station,Year,Month,Precipitation
28920,COH726,1990,1,1.92
28921,COH726,1990,2,0.89
28922,COH726,1990,3,
28923,COH726,1990,4,
28924,COH726,1990,5,
28925,COH726,1990,6,
28926,COH726,1990,7,
28927,COH726,1990,8,
28928,COH726,1990,9,
28929,COH726,1990,10,
28930,COH726,1990,11,
28931,COH726,1990,12,1.57
28932,COH726,1991,1,2.8
28933,COH726,1991,2,4.46
28934,COH726,1991,3,2.16
28935,COH726,1991,4,6.88
28936,COH726,1991,5,4.96
28937,COH726,1991,6,5.96
28938,COH726,1991,7,3.64
28939,COH726,1991,8,2.35
28940,COH726,1991,9,6.97
28941,COH726,1991,10,4.03
28942,COH726,1991,11,3.29
28943,COH726,1991,12,7.74
28944,COH726,1992,1,4.7
28945,COH726,1992,2,3.48
28946,COH726,1992,3,8.45
28947,COH726,1992,4,3.82
28948,COH726,1992,5,4.94
28949,COH726,1992,6,2.79
28950,COH726,1992,7,2.02
28951,COH726,1992,8,2.67
28952,COH726,1992,9,4.71
28953,COH726,1992,10,3.88
28954,COH726,1992,11,4.32
28955,COH726,1992,12,4.5
28956,COH726,1993,1,4.51
28957,COH726,1993,2,7.71
28958,COH726,1993,3,3.77
28959,COH726,1993,4,4.12
28960,COH726,1993,5,9.64
28961,COH726,1993,6,5.18
28962,COH726,1993,7,4.5
28963,COH726,1993,8,5.87
28964,COH726,1993,9,2.4
28965,COH726,1993,10,3.96
28966,COH726,1993,11,1.12
28967,COH726,1993,12,4.18
28968,COH726,1994,1,2.45
28969,COH726,1994,2,1.82
28970,COH726,1994,3,2.31
28971,COH726,1994,4,5.6
28972,COH726,1994,5,10.35
28973,COH726,1994,6,4.16
28974,COH726,1994,7,4.39
28975,COH726,1994,8,2.93
28976,COH726,1994,9,5.37
28977,COH726,1994,10,2.93
28978,COH726,1994,11,3.22
28979,COH726,1994,12,3.46
28980,COH726,1995,1,4.14
28981,COH726,1995,2,5.95
28982,COH726,1995,3,3.3
28983,COH726,1995,4,2.24
28984,COH726,1995,5,5.99
28985,COH726,1995,6,1.28
28986,COH726,1995,7,2.7
28987,COH726,1995,8,8.81
28988,COH726,1995,9,6.84
28989,COH726,1995,10,3.21
28990,COH726,1995,11,3.73
28991,COH726,1995,12,4.48
28992,COH726,1996,1,4.33
28993,COH726,1996,2,4.17
