,Station,Year,Month,Precipitation
145116,WEY738,1990,1,4.89
145117,WEY738,1990,2,1.15
145118,WEY738,1990,3,5.51
145119,WEY738,1990,4,6.17
145120,WEY738,1990,5,1.37
145121,WEY738,1990,6,5.15
145122,WEY738,1990,7,2.64
145123,WEY738,1990,8,3.13
145124,WEY738,1990,9,4.33
145125,WEY738,1990,10,2.84
145126,WEY738,1990,11,3.49
145127,WEY738,1990,12,2.49
145128,WEY738,1991,1,3.05
145129,WEY738,1991,2,5.96
145130,WEY738,1991,3,5.91
145131,WEY738,1991,4,8.16
145132,WEY738,1991,5,5.71
145133,WEY738,1991,6,3.97
145134,WEY738,1991,7,7.22
145135,WEY738,1991,8,9.04
145136,WEY738,1991,9,4.36
145137,WEY738,1991,10,4.82
145138,WEY738,1991,11,2.36
145139,WEY738,1991,12,4.91
145140,WEY738,1992,1,4.19
145141,WEY738,1992,2,1.74
145142,WEY738,1992,3,1.28
145143,WEY738,1992,4,4.71
145144,WEY738,1992,5,1.57
145145,WEY738,1992,6,6.92
145146,WEY738,1992,7,2.35
145147,WEY738,1992,8,2.14
145148,WEY738,1992,9,6.17
145149,WEY738,1992,10,1.68
145150,WEY738,1992,11,1.23
145151,WEY738,1992,12,1.58
145152,WEY738,1993,1,5.08
145153,WEY738,1993,2,3.46
145154,WEY738,1993,3,5.47
145155,WEY738,1993,4,4.64
145156,WEY738,1993,5,5.56
145157,WEY738,1993,6,2.8
145158,WEY738,1993,7,7.89
145159,WEY738,1993,8,2.9
145160,WEY738,1993,9,1.6
145161,WEY738,1993,10,2.45
145162,WEY738,1993,11,4.25
145163,WEY738,1993,12,3.16
145164,WEY738,1994,1,3.68
145165,WEY738,1994,2,
145166,WEY738,1994,3,
145167,WEY738,1994,4,
145168,WEY738,1994,5,
145169,WEY738,1994,6,
145170,WEY738,1994,7,
145171,WEY738,1994,8,
145172,WEY738,1994,9,
145173,WEY738,1994,10,
145174,WEY738,1994,11,
145175,WEY738,1994,12,
145176,WEY738,1995,1,
145177,WEY738,1995,2,
145178,WEY738,1995,3,
145179,WEY738,1995,4,
145180,WEY738,1995,5,5.08
145181,WEY738,1995,6,2.44
145182,WEY738,1995,7,
145183,WEY738,1995,8,
145184,WEY738,1995,9,
145185,WEY738,1995,10,
145186,WEY738,1995,11,
145187,WEY738,1995,12,
145188,WEY738,1996,1,
145189,WEY738,1996,2,
145190,WEY738,1996,3,
145191,WEY738,1996,4,
145192,WEY738,1996,5,
145193,WEY738,1996,6,
145194,WEY738,1996,7,
145195,WEY738,1996,8,
145196,WEY738,1996,9,1.6
145197,WEY738,1996,10,3.31
145198,WEY738,1996,11,6.21
145199,WEY738,1996,12,4.18
145200,WEY738,1997,1,7.54
145201,WEY738,1997,2,4.54
145202,WEY738,1997,3,2.96
145203,WEY738,1997,4,6.67
145204,WEY738,1997,5,9.03
145205,WEY738,1997,6,4.12
145206,WEY738,1997,7,4.31
145207,WEY738,1997,8,2.64
145208,WEY738,1997,9,5.3
145209,WEY738,1997,10,3.9
145210,WEY738,1997,11,2.55
145211,WEY738,1997,12,0.9
145212,WEY738,1998,1,5.75
145213,WEY738,1998,2,1.82
145214,WEY738,1998,3,6.75
145215,WEY738,1998,4,2.45
145216,WEY738,1998,5,1.35
145217,WEY738,1998,6,5.35
145218,WEY738,1998,7,2.28
145219,WEY738,1998,8,1.14
145220,WEY738,1998,9,0.98
145221,WEY738,1998,10,5.43
145222,WEY738,1998,11,3.39
145223,WEY738,1998,12,5.32
145224,WEY738,1999,1,4.49
145225,WEY738,1999,2,4.74
145226,WEY738,1999,3,2.1
145227,WEY738,1999,4,6.8
145228,WEY738,1999,5,2.18
145229,WEY738,1999,6,1.26
145230,WEY738,1999,7,2.04
145231,WEY738,1999,8,3.05
145232,WEY738,1999,9,2.53
145233,WEY738,1999,10,3.92
145234,WEY738,1999,11,5.73
145235,WEY738,1999,12,2.34
145236,WEY738,2000,1,3.73
145237,WEY738,2000,2,2.18
145238,WEY738,2000,3,
145239,WEY738,2000,4,
145240,WEY738,2000,5,
145241,WEY738,2000,6,
145242,WEY738,2000,7,
145243,WEY738,2000,8,
145244,WEY738,2000,9,
145245,WEY738,2000,10,
145246,WEY738,2000,11,
145247,WEY738,2000,12,3.67
145248,WEY738,2001,1,5.92
145249,WEY738,2001,2,4.52
145250,WEY738,2001,3,2.88
145251,WEY738,2001,4,
145252,WEY738,2001,5,6.81
145253,WEY738,2001,6,4.2
145254,WEY738,2001,7,2.57
145255,WEY738,2001,8,4.26
145256,WEY738,2001,9,4.41
145257,WEY738,2001,10,4.54
145258,WEY738,2001,11,3.49
145259,WEY738,2001,12,4.54
145260,WEY738,2002,1,2.4
145261,WEY738,2002,2,3.39
145262,WEY738,2002,3,5.03
145263,WEY738,2002,4,3.5
145264,WEY738,2002,5,3.74
145265,WEY738,2002,6,5.12
145266,WEY738,2002,7,2.99
145267,WEY738,2002,8,2.7
145268,WEY738,2002,9,3.21
145269,WEY738,2002,10,2.26
145270,WEY738,2002,11,6.54
145271,WEY738,2002,12,2.78
145272,WEY738,2003,1,3.93
145273,WEY738,2003,2,5.12
145274,WEY738,2003,3,1.8
145275,WEY738,2003,4,5.69
145276,WEY738,2003,5,4.2
145277,WEY738,2003,6,6.92
145278,WEY738,2003,7,2.3
145279,WEY738,2003,8,3.89
145280,WEY738,2003,9,2.91
145281,WEY738,2003,10,3.89
145282,WEY738,2003,11,2.28
145283,WEY738,2003,12,3.9
145284,WEY738,2004,1,3.71
145285,WEY738,2004,2,1.26
145286,WEY738,2004,3,8.48
145287,WEY738,2004,4,3.79
145288,WEY738,2004,5,3.44
145289,WEY738,2004,6,3.16
145290,WEY738,2004,7,2.57
145291,WEY738,2004,8,3.26
145292,WEY738,2004,9,6.0
145293,WEY738,2004,10,0.71
145294,WEY738,2004,11,3.84
145295,WEY738,2004,12,5.91
145296,WEY738,2005,1,3.81
145297,WEY738,2005,2,3.71
145298,WEY738,2005,3,1.84
145299,WEY738,2005,4,2.5
145300,WEY738,2005,5,3.65
145301,WEY738,2005,6,5.46
145302,WEY738,2005,7,4.03
145303,WEY738,2005,8,4.45
145304,WEY738,2005,9,5.94
145305,WEY738,2005,10,0.82
145306,WEY738,2005,11,4.94
145307,WEY738,2005,12,6.4
145308,WEY738,2006,1,2.03
145309,WEY738,2006,2,4.61
145310,WEY738,2006,3,3.48
145311,WEY738,2006,4,4.92
145312,WEY738,2006,5,4.17
145313,WEY738,2006,6,2.58
145314,WEY738,2006,7,3.9
145315,WEY738,2006,8,2.31
145316,WEY738,2006,9,3.07
145317,WEY738,2006,10,6.6
145318,WEY738,2006,11,6.54
145319,WEY738,2006,12,8.1
145320,WEY738,2007,1,4.79
145321,WEY738,2007,2,2.79
145322,WEY738,2007,3,7.31
145323,WEY738,2007,4,8.33
145324,WEY738,2007,5,5.14
145325,WEY738,2007,6,5.16
145326,WEY738,2007,7,2.74
145327,WEY738,2007,8,3.82
145328,WEY738,2007,9,3.7
145329,WEY738,2007,10,1.84
145330,WEY738,2007,11,1.24
145331,WEY738,2007,12,6.21
145332,WEY738,2008,1,1.44
145333,WEY738,2008,2,5.76
145334,WEY738,2008,3,3.16
145335,WEY738,2008,4,2.09
