Station Trial Name,p,d,q,AIC value
COH726-1,0,0,0,1793.288
COH726-2,0,0,3,1648.508
COH726-3,0,0,6,1614.95
COH726-4,0,0,9,1582.61
COH726-5,0,0,12,1569.885
COH726-6,3,0,0,1566.043
COH726-7,3,0,3,1522.555
COH726-8,3,0,6,1527.079
COH726-9,3,0,9,1530.478
COH726-10,3,0,12,1594.039
COH726-11,13,0,0,1531.148
COH726-12,13,0,3,1536.349
COH726-13,13,0,6,1532.181
COH726-14,13,0,9,1520.805
COH726-15,13,0,12,1521.785
LYN614-1,0,0,0,1749.503
LYN614-2,0,0,3,1700.495
LYN614-3,0,0,12,1681.67
LYN614-4,3,0,0,1673.113
LYN614-5,3,0,3,1625.451
LYN614-6,3,0,12,1639.028
LYN614-7,12,0,0,1653.476
LYN614-8,12,0,3,1637.089
LYN614-9,12,0,12,1654.278
WEY738-1,0,0,0,1710.812
WEY738-2,0,0,1,1627.381
WEY738-3,0,0,2,1588.732
WEY738-4,0,0,3,1567.869
WEY738-5,0,0,5,1537.701
WEY738-6,0,0,7,1526.599
WEY738-7,0,0,9,1507.824
WEY738-8,0,0,12,1490.094
WEY738-9,1,0,0,1564.253
WEY738-10,1,0,1,1467.074
WEY738-11,1,0,2,1478.275
WEY738-12,1,0,3,1467.366
WEY738-13,1,0,5,1476.304
WEY738-14,1,0,7,1463.349
WEY738-15,1,0,9,1470.24
WEY738-16,1,0,12,1463.176
WEY738-17,2,0,0,1522.528
WEY738-18,2,0,1,1467.027
WEY738-19,2,0,2,1468.662
WEY738-20,2,0,3,1469.987
WEY738-21,2,0,5,1470.908
WEY738-22,2,0,7,1468.01
WEY738-23,2,0,9,1467.577
WEY738-24,2,0,12,1462.177
WEY738-25,3,0,0,1503.268
WEY738-26,3,0,1,1468.411
WEY738-27,3,0,2,1470.487
WEY738-28,3,0,3,1461.072
WEY738-29,3,0,5,1456.263
WEY738-30,3,0,7,1456.935
WEY738-31,3,0,9,1468.426
WEY738-32,3,0,12,1460.696
WEY738-33,5,0,0,1481.136
WEY738-34,5,0,1,1473.853
WEY738-35,5,0,2,1468.807
WEY738-36,5,0,3,1467.725
WEY738-37,5,0,5,1456.293
WEY738-38,5,0,7,1453.425
WEY738-39,5,0,9,1454.813
WEY738-40,5,0,12,1462.306
WEY738-41,6,0,0,1478.384
WEY738-42,6,0,1,1478.473
WEY738-43,6,0,2,1481.031
WEY738-44,6,0,3,1461.414
WEY738-45,6,0,5,1459.173
WEY738-46,6,0,7,1458.499
WEY738-47,6,0,9,1456.189
WEY738-48,6,0,12,1453.258
WEY738-49,12,0,0,1465.299
WEY738-50,12,0,1,1463.598
WEY738-51,12,0,2,1457.229
WEY738-52,12,0,3,1460.75
WEY738-53,12,0,5,1459.801
WEY738-54,12,0,7,1463.737
WEY738-55,12,0,9,1458.174
WEY738-56,12,0,12,1463.409
