Station Trial Name,p,d,q,AIC value
COH726-1,0,0,0,-103.275
COH726-2,0,0,3,-241.899
COH726-3,0,0,6,-272.071
COH726-4,0,0,9,-305.683
COH726-5,0,0,12,-318.109
COH726-6,3,0,0,-321.251
COH726-7,3,0,3,-359.062
COH726-8,3,0,6,-352.51
COH726-9,3,0,9,-312.951
COH726-10,3,0,12,-120.776
COH726-11,13,0,0,-355.615
COH726-12,13,0,3,-349.562
COH726-13,13,0,6,-344.042
COH726-14,13,0,9,-330.718
COH726-15,13,0,12,-350.615
LYN614-1,0,0,0,-228.558
LYN614-2,0,0,3,-265.137
LYN614-3,0,0,12,-256.832
LYN614-4,3,0,0,-294.931
LYN614-5,3,0,3,-327.033
LYN614-6,3,0,12,-321.837
LYN614-7,12,0,0,-310.503
LYN614-8,12,0,3,-303.85
LYN614-9,12,0,12,-285.442
WEY738-1,0,0,0,-52.933
WEY738-2,0,0,1,-110.894
WEY738-3,0,0,2,-144.495
WEY738-4,0,0,3,-159.249
WEY738-5,0,0,5,-183.378
WEY738-6,0,0,7,-191.313
WEY738-7,0,0,9,-206.844
WEY738-8,0,0,12,-222.97
WEY738-9,1,0,0,-156.615
WEY738-10,1,0,1,-233.454
WEY738-11,1,0,2,-192.961
WEY738-12,1,0,3,-224.732
WEY738-13,1,0,5,-221.298
WEY738-14,1,0,7,-208.878
WEY738-15,1,0,9,-220.375
WEY738-16,1,0,12,-217.119
WEY738-17,2,0,0,-189.563
WEY738-18,2,0,1,-233.928
WEY738-19,2,0,2,-183.146
WEY738-20,2,0,3,-230.504
WEY738-21,2,0,5,-223.359
WEY738-22,2,0,7,-220.246
WEY738-23,2,0,9,-225.91
WEY738-24,2,0,12,-227.283
WEY738-25,3,0,0,-205.367
WEY738-26,3,0,1,-202.082
WEY738-27,3,0,2,-190.981
WEY738-28,3,0,3,-224.979
WEY738-29,3,0,5,-226.234
WEY738-30,3,0,7,-228.276
WEY738-31,3,0,9,-227.223
WEY738-32,3,0,12,17711.868
WEY738-33,5,0,0,-224.507
WEY738-34,5,0,1,-223.854
WEY738-35,5,0,2,-177.644
WEY738-36,5,0,3,-214.99
WEY738-37,5,0,5,-214.57
WEY738-38,5,0,7,-234.644
WEY738-39,5,0,9,-235.48
WEY738-40,5,0,12,13213.566
WEY738-41,6,0,0,-226.632
WEY738-42,6,0,1,-224.742
WEY738-43,6,0,2,-222.788
WEY738-44,6,0,3,-220.638
WEY738-45,6,0,5,-210.99
WEY738-46,6,0,7,-231.889
WEY738-47,6,0,9,-227.388
WEY738-48,6,0,12,-227.641
WEY738-49,12,0,0,-239.199
WEY738-50,12,0,1,-238.367
WEY738-51,12,0,2,-237.948
WEY738-52,12,0,3,-237.763
WEY738-53,12,0,5,-228.0
WEY738-54,12,0,7,-227.436
WEY738-55,12,0,9,-218.276
WEY738-56,12,0,12,52.0
