Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Connecticut River,CONNECTICUT,Amherst,AMH307,1997,2019,264,24,0.9090909090909091,42.306527777777774,72.5321111111111
Connecticut River,CONNECTICUT,Amherst,AMHNWS,1838,2015,2136,200,0.9063670411985019,42.38527777777778,72.53786111111111
Connecticut River,DEERFIELD,Ashfield,ASFNWS,1992,2015,288,5,0.9826388888888888,42.38527777777778,72.53786111111111
Central,NASHUA,Ashburnham,ASHNWS,1942,2015,888,59,0.9335585585585585,42.61794444444445,71.91633333333334
Central,MILLERS,Athol,ATH404,1912,2019,1296,120,0.9074074074074074,42.586083333333335,72.2431111111111
Southeast,TAUNTON,Attleboro,ATT801,1896,2019,1428,53,0.9628851540616247,41.92822222222222,71.33691666666667
Central,CHICOPEE,South Barre,BAR416,1930,2015,1032,49,0.9525193798449613,41.92822222222222,71.33691666666667
Cape Cod and Islands,CAPE COD,Osterville,BAR916,1993,2019,324,20,0.9382716049382716,41.63569444444445,70.39080555555556
Cape Cod and Islands,CAPE COD,West Barnstable,BAR917,1993,2015,276,27,0.9021739130434783,41.63569444444445,70.39080555555556
Central,CHICOPEE,Hubbardston,BARCOE,1984,2015,384,43,0.8880208333333334,42.44022222222222,72.02552777777778
Northeast,SHAWSHEEN,Bedford,BEDNWS,1992,2015,288,40,0.8611111111111112,42.44022222222222,72.02552777777778
Connecticut River,CHICOPEE,Belchertown,BEL314,1939,2015,924,142,0.8463203463203464,42.28041666666667,72.34925
Southeast,BLACKSTONE,Bellingham,BEL736,1963,2019,684,39,0.9429824561403509,42.07916666666667,71.46480555555556
Northeast,CONCORD,Hudson,BER510,1927,2019,1116,102,0.9086021505376344,42.400055555555554,71.54091666666666
Northeast,IPSWICH,Beverly,BEV609,1874,2019,1752,147,0.9160958904109588,42.58222222222223,70.88986111111112
Northeast,NORTH COASTAL,Beverly,BEVNWS,1995,2015,252,14,0.9444444444444444,42.58752777777778,70.83802777777777
,MILLERS,South Royalston,BIRCOE,1984,2015,384,43,0.8880208333333334,42.63283333333333,72.62299999999999
Connecticut River,WESTFIELD,Blandford,BLA214,1930,2019,1080,47,0.9564814814814815,42.173361111111106,72.92986111111112
,WESTFIELD,Blandford,BORNWS,1914,2015,852,114,0.8661971830985915,42.173361111111106,72.92986111111112
Northeast,BOSTON HARBOR,East Boston,BOSNWS,1871,2015,1740,130,0.9252873563218391,42.36327777777778,71.02652777777777
Central,NASHUA,Boylston,BOYMDC,1964,2015,624,42,0.9326923076923077,42.36327777777778,71.02652777777777
Northeast,BOSTON HARBOR,Braintree,BRAACO,2002,2019,216,18,0.9166666666666666,42.22069444444445,70.98033333333333
Southeast,TAUNTON,Bridgewater,BRI805,1914,2015,1224,36,0.9705882352941176,41.953833333333336,70.95777777777778
Southeast,TAUNTON,Brockton,BRO803,1894,2015,1464,92,0.9371584699453552,42.046861111111106,71.00727777777777
Central,FRENCH,Oxford,BUFCOE,1880,2015,1632,227,0.860906862745098,42.11627777777778,71.90752777777779
Northeast,IPSWICH,Burlington,BUR700,1967,2015,588,43,0.9268707482993197,42.11627777777778,71.90752777777779
Northeast,BOSTON HARBOR,Cambridge,CAM707,1968,2015,576,30,0.9479166666666666,42.11627777777778,71.90752777777779
Northeast,CONCORD,Carlisle,CAR708,1997,2015,216,29,0.8657407407407407,42.11627777777778,71.90752777777779
Cape Cod and Islands,CAPE COD,Chatham,CHANWS,1931,2015,912,91,0.9002192982456141,41.65705555555555,69.95975
Connecticut River,WESTFIELD,Chesterfield,CHE209,1919,2015,1164,93,0.9201030927835052,41.65705555555555,69.95975
Connecticut River,CHICOPEE,Chicopee,CHI306,1997,2015,216,14,0.9351851851851852,41.65705555555555,69.95975
Connecticut River,CHICOPEE,Granby,CHINWS,1965,2015,612,52,0.9150326797385621,42.190666666666665,72.53458333333333
Connecticut River,DEERFIELD,Charlemont,CHRNWS,1992,1996,60,1,0.9833333333333333,42.190666666666665,72.53458333333333
Northeast,NASHUA,Clinton,CLINWS,1902,2015,1368,145,0.8940058479532164,42.190666666666665,72.53458333333333
Southeast,SOUTH COASTAL,Cohasset,COH726,1935,2019,1020,65,0.9362745098039216,42.22727777777778,70.81780555555555
Connecticut River,DEERFIELD,Colrain,COLNWS,1975,1996,264,16,0.9393939393939394,42.22727777777778,70.81780555555555
Northeast,CONCORD,Concord,CON704,1891,2019,1548,123,0.9205426356589147,42.46325,71.35324999999999
Western,HOUSATONIC,Dalton,DAL104,1906,2015,1320,41,0.968939393939394,42.474444444444444,73.17294444444445
Southeast,BUZZARDS BAY,North Dartmouth,DAR818,1958,2019,744,29,0.9610215053763441,41.6255,70.95458333333333
Central,BLACKSTONE,Douglas,DOU511,1995,2015,252,16,0.9365079365079365,41.6255,70.95458333333333
,QUINEBAUG,Fiskdale,EBRCOE,1962,2015,648,73,0.8873456790123457,42.10963888888889,72.12702777777777
Cape Cod and Islands,ISLANDS,Vineyard Haven,EDG907,1947,2015,828,96,0.8840579710144928,41.39480555555556,70.52555555555556
Connecticut River,MILLERS,Erving,ERV303,1994,2015,264,61,0.7689393939393939,41.39480555555556,70.52555555555556
Southeast,BUZZARDS BAY,East Wareham,EWANWS,1927,2015,1068,86,0.9194756554307116,41.765277777777776,70.67002777777778
Cape Cod and Islands,CAPE COD,Otis ANGB,FAL903,1919,2015,1164,108,0.9072164948453608,41.765277777777776,70.67002777777778
Cape Cod and Islands,CAPE COD,Falmouth,FAL904,1956,2019,768,97,0.8736979166666666,41.57113888888889,70.61494444444443
,,Fitzwilliam,FIT401,1920,2015,1152,59,0.9487847222222222,41.57113888888889,70.61494444444443
Southeast,BOSTON HARBOR,Foxborough,FOX732,1953,2015,756,46,0.9391534391534392,42.078583333333334,71.238
Southeast,CHARLES,Franklin,FRA728,1922,2015,1128,124,0.8900709219858156,42.07933333333334,71.41144444444446
Central,MILLERS,Gardner,GAR406,1906,2015,1320,79,0.9401515151515152,42.07933333333334,71.41144444444446
Northeast,NORTH COASTAL,Gloucester,GLO615,1915,2019,1260,116,0.9079365079365079,42.611000000000004,70.68011111111112
