Region,Basin Name,CITY,STATION
Connecticut River,CONNECTICUT,Amherst,AMH307
Connecticut River,CONNECTICUT,Amherst,AMHNWS
Connecticut River,DEERFIELD,Ashfield,ASFNWS
Central,NASHUA,Ashburnham,ASHNWS
Central,MILLERS,Athol,ATH404
Southeast,TAUNTON,Attleboro,ATT801
Central,CHICOPEE,South Barre,BAR416
Cape Cod and Islands,CAPE COD,Osterville,BAR916
Cape Cod and Islands,CAPE COD,West Barnstable,BAR917
Central,CHICOPEE,Hubbardston,BARCOE
Northeast,SHAWSHEEN,Bedford,BEDNWS
Connecticut River,CHICOPEE,Belchertown,BEL314
Southeast,BLACKSTONE,Bellingham,BEL736
Northeast,CONCORD,Hudson,BER510
Northeast,IPSWICH,Beverly,BEV609
Northeast,NORTH COASTAL,Beverly,BEVNWS
,MILLERS,South Royalston,BIRCOE
Connecticut River,WESTFIELD,Blandford,BLA214
,WESTFIELD,Blandford,BORNWS
Northeast,BOSTON HARBOR,East Boston,BOSNWS
Central,NASHUA,Boylston,BOYMDC
Northeast,BOSTON HARBOR,Braintree,BRAACO
Southeast,TAUNTON,Bridgewater,BRI805
Southeast,TAUNTON,Brockton,BRO803
Central,FRENCH,Oxford,BUFCOE
Northeast,IPSWICH,Burlington,BUR700
Northeast,BOSTON HARBOR,Cambridge,CAM707
Northeast,CONCORD,Carlisle,CAR708
Cape Cod and Islands,CAPE COD,Chatham,CHANWS
Connecticut River,WESTFIELD,Chesterfield,CHE209
Connecticut River,CHICOPEE,Chicopee,CHI306
Connecticut River,CHICOPEE,Granby,CHINWS
Connecticut River,DEERFIELD,Charlemont,CHRNWS
Northeast,NASHUA,Clinton,CLINWS
Southeast,SOUTH COASTAL,Cohasset,COH726
Connecticut River,DEERFIELD,Colrain,COLNWS
Northeast,CONCORD,Concord,CON704
Western,HOUSATONIC,Dalton,DAL104
Southeast,BUZZARDS BAY,North Dartmouth,DAR818
Central,BLACKSTONE,Douglas,DOU511
,QUINEBAUG,Fiskdale,EBRCOE
Cape Cod and Islands,ISLANDS,Vineyard Haven,EDG907
Connecticut River,MILLERS,Erving,ERV303
Southeast,BUZZARDS BAY,East Wareham,EWANWS
Cape Cod and Islands,CAPE COD,Otis ANGB,FAL903
Cape Cod and Islands,CAPE COD,Falmouth,FAL904
,,Fitzwilliam,FIT401
Southeast,BOSTON HARBOR,Foxborough,FOX732
Southeast,CHARLES,Franklin,FRA728
Central,MILLERS,Gardner,GAR406
Northeast,NORTH COASTAL,Gloucester,GLO615
Connecticut River,CONNECTICUT,Williamsburg,GOS207
Connecticut River,WESTFIELD,Westfield,GRA220
Western,HOUSATONIC,Great Barrington,GRE112
Western,HOUSATONIC,Great Barrington,GRE114
Connecticut River,DEERFIELD,Greenfield,GRE203
Western,HOUSATONIC,South Egremont,GRENWS
Northeast,MERRIMACK,Groveland,GRONWS
Central,CHICOPEE,Gilbertville,HAR420
Central,CHICOPEE,Hardwick,HAR421
Cape Cod and Islands,CAPE COD,Harwich,HAR910
Northeast,MERRIMACK,Haverhill,HAV555
Northeast,MERRIMACK,Haverhill,HAVNWS
Connecticut River,DEERFIELD,Heath,HEA201
Northeast,BOSTON HARBOR,Hingham,HIN724
Northeast,BOSTON HARBOR,Hingham,HINNWS
Connecticut River,CONNECTICUT,Holyoke,HOL217
Central,NASHUA,Holden,HOL423
Central,NASHUA,W. Boylston,HOLMDC
Cape Cod and Islands,CAPE COD,Hyannis,HYANWS
Northeast,IPSWICH,Ipswich,IPS606
Connecticut River,WESTFIELD,Huntington,KNICOE
Southeast,TAUNTON,Lakeville,LAK810
Western,HOUSATONIC,Lanesborough,LANNWS
