Station,Year,Month,Precipitation
BOSNWS,1871,1,4.28
BOSNWS,1871,2,2.95
BOSNWS,1871,3,3.52
BOSNWS,1871,4,2.85
BOSNWS,1871,5,3.78
BOSNWS,1871,6,4.1
BOSNWS,1871,7,1.39
BOSNWS,1871,8,2.27
BOSNWS,1871,9,2.69
BOSNWS,1871,10,4.68
BOSNWS,1871,11,2.98
BOSNWS,1871,12,4.74
BOSNWS,1872,1,3.16
BOSNWS,1872,2,3.0
BOSNWS,1872,3,3.45
BOSNWS,1872,4,3.5
BOSNWS,1872,5,2.65
BOSNWS,1872,6,0.9
BOSNWS,1872,7,4.35
BOSNWS,1872,8,5.1
BOSNWS,1872,9,4.67
BOSNWS,1872,10,5.73
BOSNWS,1872,11,3.2
BOSNWS,1872,12,3.35
BOSNWS,1873,1,3.33
BOSNWS,1873,2,2.76
BOSNWS,1873,3,2.52
BOSNWS,1873,4,1.47
BOSNWS,1873,5,3.02
BOSNWS,1873,6,1.05
BOSNWS,1873,7,7.3
BOSNWS,1873,8,3.25
BOSNWS,1873,9,4.5
BOSNWS,1873,10,6.35
BOSNWS,1873,11,2.37
BOSNWS,1873,12,3.2
BOSNWS,1874,1,0.25
BOSNWS,1874,2,3.6
BOSNWS,1874,3,3.45
BOSNWS,1874,4,3.6
BOSNWS,1874,5,1.87
BOSNWS,1874,6,2.23
BOSNWS,1874,7,2.95
BOSNWS,1874,8,3.12
BOSNWS,1874,9,2.87
BOSNWS,1874,10,3.55
BOSNWS,1874,11,1.8
BOSNWS,1874,12,3.66
BOSNWS,1875,1,3.51
BOSNWS,1875,2,3.01
BOSNWS,1875,3,3.11
BOSNWS,1875,4,1.55
BOSNWS,1875,5,3.68
BOSNWS,1875,6,1.8
BOSNWS,1875,7,3.02
BOSNWS,1875,8,3.15
BOSNWS,1875,9,2.13
BOSNWS,1875,10,5.37
BOSNWS,1875,11,1.96
BOSNWS,1875,12,4.35
BOSNWS,1876,1,3.92
BOSNWS,1876,2,0.82
BOSNWS,1876,3,3.93
BOSNWS,1876,4,3.94
BOSNWS,1876,5,3.25
BOSNWS,1876,6,3.45
BOSNWS,1876,7,1.57
BOSNWS,1876,8,7.91
BOSNWS,1876,9,5.4
BOSNWS,1876,10,4.81
BOSNWS,1876,11,6.31
BOSNWS,1876,12,2.36
BOSNWS,1877,1,3.12
BOSNWS,1877,2,3.65
BOSNWS,1877,3,2.49
BOSNWS,1877,4,2.51
BOSNWS,1877,5,2.58
BOSNWS,1877,6,3.29
BOSNWS,1877,7,0.98
BOSNWS,1877,8,7.36
BOSNWS,1877,9,2.0
BOSNWS,1877,10,4.75
BOSNWS,1877,11,6.94
BOSNWS,1877,12,1.89
BOSNWS,1878,1,3.08
BOSNWS,1878,2,0.4
BOSNWS,1878,3,3.71
BOSNWS,1878,4,2.71
BOSNWS,1878,5,3.97
BOSNWS,1878,6,1.68
BOSNWS,1878,7,2.06
BOSNWS,1878,8,4.1
BOSNWS,1878,9,2.44
BOSNWS,1878,10,3.11
BOSNWS,1878,11,2.85
BOSNWS,1878,12,2.01
BOSNWS,1879,1,5.41
BOSNWS,1879,2,4.49
BOSNWS,1879,3,
BOSNWS,1879,4,
BOSNWS,1879,5,
BOSNWS,1879,6,
BOSNWS,1879,7,
BOSNWS,1879,8,
BOSNWS,1879,9,
BOSNWS,1879,10,
BOSNWS,1879,11,
BOSNWS,1879,12,
BOSNWS,1880,1,
BOSNWS,1880,2,
BOSNWS,1880,3,
BOSNWS,1880,4,
BOSNWS,1880,5,
BOSNWS,1880,6,
BOSNWS,1880,7,1.17
BOSNWS,1880,8,3.75
BOSNWS,1880,9,5.21
BOSNWS,1880,10,5.04
BOSNWS,1880,11,5.05
BOSNWS,1880,12,0.91
BOSNWS,1881,1,2.59
BOSNWS,1881,2,2.22
BOSNWS,1881,3,2.41
BOSNWS,1881,4,2.9
BOSNWS,1881,5,0.9
BOSNWS,1881,6,2.28
BOSNWS,1881,7,0.35
BOSNWS,1881,8,6.96
BOSNWS,1881,9,2.76
BOSNWS,1881,10,4.74
BOSNWS,1881,11,7.47
BOSNWS,1881,12,1.75
BOSNWS,1882,1,2.46
BOSNWS,1882,2,0.62
BOSNWS,1882,3,3.12
BOSNWS,1882,4,2.29
BOSNWS,1882,5,1.7
BOSNWS,1882,6,1.31
BOSNWS,1882,7,2.29
BOSNWS,1882,8,3.56
BOSNWS,1882,9,
BOSNWS,1882,10,
BOSNWS,1882,11,
BOSNWS,1882,12,
BOSNWS,1883,1,
BOSNWS,1883,2,3.91
BOSNWS,1883,3,
BOSNWS,1883,4,
BOSNWS,1883,5,
BOSNWS,1883,6,
BOSNWS,1883,7,
BOSNWS,1883,8,
BOSNWS,1883,9,
BOSNWS,1883,10,
BOSNWS,1883,11,
BOSNWS,1883,12,
BOSNWS,1884,1,
BOSNWS,1884,2,
BOSNWS,1884,3,
BOSNWS,1884,4,
BOSNWS,1884,5,
BOSNWS,1884,6,
BOSNWS,1884,7,
BOSNWS,1884,8,
BOSNWS,1884,9,2.44
BOSNWS,1884,10,
BOSNWS,1884,11,
BOSNWS,1884,12,
BOSNWS,1885,1,
BOSNWS,1885,2,
BOSNWS,1885,3,
BOSNWS,1885,4,
BOSNWS,1885,5,
BOSNWS,1885,6,
BOSNWS,1885,7,
BOSNWS,1885,8,
BOSNWS,1885,9,
BOSNWS,1885,10,
BOSNWS,1885,11,
BOSNWS,1885,12,
BOSNWS,1886,1,
BOSNWS,1886,2,2.37
BOSNWS,1886,3,3.44
BOSNWS,1886,4,4.14
BOSNWS,1886,5,2.1
BOSNWS,1886,6,1.86
BOSNWS,1886,7,1.66
BOSNWS,1886,8,1.93
BOSNWS,1886,9,5.02
BOSNWS,1886,10,4.48
BOSNWS,1886,11,1.17
BOSNWS,1886,12,1.51
BOSNWS,1887,1,2.18
BOSNWS,1887,2,1.45
BOSNWS,1887,3,3.49
BOSNWS,1887,4,4.62
BOSNWS,1887,5,5.48
BOSNWS,1887,6,3.18
BOSNWS,1887,7,
BOSNWS,1887,8,5.55
BOSNWS,1887,9,5.52
BOSNWS,1887,10,3.13
BOSNWS,1887,11,3.71
