,Station,Year,Month,Precipitation
0,AMH307,1997,1,
1,AMH307,1997,2,
2,AMH307,1997,3,3.04
3,AMH307,1997,4,
4,AMH307,1997,5,5.93
5,AMH307,1997,6,3.02
6,AMH307,1997,7,1.5
7,AMH307,1997,8,4.45
8,AMH307,1997,9,5.86
9,AMH307,1997,10,5.86
10,AMH307,1997,11,1.58
11,AMH307,1997,12,2.47
12,AMH307,1998,1,2.4
13,AMH307,1998,2,2.79
14,AMH307,1998,3,2.98
15,AMH307,1998,4,
16,AMH307,1998,5,
17,AMH307,1998,6,
18,AMH307,1998,7,
19,AMH307,1998,8,
20,AMH307,1998,9,
21,AMH307,1998,10,
22,AMH307,1998,11,2.45
23,AMH307,1998,12,1.66
24,AMH307,2000,1,3.15
25,AMH307,2000,2,5.8
26,AMH307,2000,3,1.02
27,AMH307,2000,4,1.99
28,AMH307,2000,5,3.44
29,AMH307,2000,6,4.97
30,AMH307,2000,7,2.74
31,AMH307,2000,8,4.86
32,AMH307,2000,9,2.92
33,AMH307,2000,10,0.99
34,AMH307,2000,11,4.75
35,AMH307,2000,12,1.66
36,AMH307,2001,1,2.42
37,AMH307,2001,2,2.11
38,AMH307,2001,3,2.01
39,AMH307,2001,4,5.06
40,AMH307,2001,5,2.48
41,AMH307,2001,6,3.55
42,AMH307,2001,7,3.52
43,AMH307,2001,8,4.89
44,AMH307,2001,9,1.21
45,AMH307,2001,10,4.34
46,AMH307,2001,11,5.25
47,AMH307,2001,12,5.05
48,AMH307,2002,1,2.2
49,AMH307,2002,2,3.48
50,AMH307,2002,3,1.36
51,AMH307,2002,4,1.32
52,AMH307,2002,5,3.52
53,AMH307,2002,6,3.47
54,AMH307,2002,7,5.87
55,AMH307,2002,8,1.96
56,AMH307,2002,9,1.51
57,AMH307,2002,10,5.01
58,AMH307,2002,11,5.46
59,AMH307,2002,12,2.9
60,AMH307,2003,1,2.31
61,AMH307,2003,2,2.52
62,AMH307,2003,3,3.58
63,AMH307,2003,4,1.75
64,AMH307,2003,5,4.58
65,AMH307,2003,6,4.01
66,AMH307,2003,7,5.44
67,AMH307,2003,8,3.24
68,AMH307,2003,9,3.6
69,AMH307,2003,10,3.78
70,AMH307,2003,11,5.39
71,AMH307,2003,12,4.57
72,AMH307,2004,1,3.87
73,AMH307,2004,2,3.29
74,AMH307,2004,3,2.61
75,AMH307,2004,4,6.75
76,AMH307,2004,5,5.85
77,AMH307,2004,6,3.33
78,AMH307,2004,7,2.16
79,AMH307,2004,8,3.87
80,AMH307,2004,9,1.07
81,AMH307,2004,10,3.0
82,AMH307,2004,11,7.15
83,AMH307,2004,12,2.8
84,AMH307,2005,1,4.08
85,AMH307,2005,2,1.81
86,AMH307,2005,3,1.72
87,AMH307,2005,4,3.28
88,AMH307,2005,5,4.74
89,AMH307,2005,6,3.9
90,AMH307,2005,7,2.18
91,AMH307,2005,8,2.73
92,AMH307,2005,9,2.25
93,AMH307,2005,10,3.56
94,AMH307,2005,11,6.14
95,AMH307,2005,12,2.36
96,AMH307,2006,1,2.18
97,AMH307,2006,2,3.98
98,AMH307,2006,3,3.72
99,AMH307,2006,4,6.52
100,AMH307,2006,5,2.56
101,AMH307,2006,6,3.64
102,AMH307,2006,7,4.11
103,AMH307,2006,8,2.02
104,AMH307,2006,9,2.74
105,AMH307,2006,10,2.0
106,AMH307,2006,11,1.56
107,AMH307,2006,12,6.02
108,AMH307,2007,1,3.85
109,AMH307,2007,2,3.42
110,AMH307,2007,3,3.23
111,AMH307,2007,4,2.5
112,AMH307,2007,5,2.19
113,AMH307,2007,6,4.33
114,AMH307,2007,7,2.57
115,AMH307,2007,8,3.58
116,AMH307,2007,9,3.67
117,AMH307,2007,10,2.44
118,AMH307,2007,11,3.5
119,AMH307,2007,12,4.96
120,AMH307,2008,1,6.47
121,AMH307,2008,2,5.38
122,AMH307,2008,3,6.6
123,AMH307,2008,4,2.21
124,AMH307,2008,5,2.63
125,AMH307,2008,6,2.21
126,AMH307,2008,7,3.54
127,AMH307,2008,8,2.92
128,AMH307,2008,9,1.24
129,AMH307,2008,10,3.07
130,AMH307,2008,11,2.72
131,AMH307,2008,12,3.37
132,AMH307,2009,1,2.63
133,AMH307,2009,2,4.52
134,AMH307,2009,3,4.33
135,AMH307,2009,4,3.28
136,AMH307,2009,5,4.02
137,AMH307,2009,6,6.24
138,AMH307,2009,7,2.45
139,AMH307,2009,8,0.81
140,AMH307,2009,9,1.75
141,AMH307,2009,10,1.38
142,AMH307,2009,11,4.03
143,AMH307,2009,12,3.81
144,AMH307,2010,1,2.35
145,AMH307,2010,2,2.52
146,AMH307,2010,3,3.01
147,AMH307,2010,4,1.67
